Year,Month,ReturnPct
1896,10,6.73
1896,11,11.22
1896,12,0.46
1897,1,4.27
1897,2,3.32
1897,3,4.55
1897,4,1.19
1897,5,4.93
1897,6,9.07
1897,7,8.67
1897,8,10.54
1897,9,8.63
1897,10,0.4
1897,11,0.21
1897,12,6.02
1898,1,6.53
1898,2,3.48
1898,3,-0.62
1898,4,2.37
1898,5,10.72
1898,6,7.8
1898,7,4.15
1898,8,7.48
1898,9,3.61
1898,10,1.71
1898,11,7.18
1898,12,9.96
1899,1,11.15
1899,2,7.07
1899,3,4.6
1899,4,4.37
1899,5,-1.08
1899,6,1.13
1899,7,6.92
1899,8,5.89
1899,9,2.17
1899,10,2.83
1899,11,5.21
1899,12,-3.56
1900,1,4.98
1900,2,5.57
1900,3,4.51
1900,4,5.11
1900,5,-0.79
1900,6,1.32
1900,7,4.44
1900,8,5.97
1900,9,2.36
1900,10,8.62
1900,11,12.65
1900,12,10.65
1901,1,7.28
1901,2,6.79
1901,3,7.86
1901,4,12.52
1901,5,-1.23
1901,6,13.97
1901,7,-3.06
1901,8,5.3
1901,9,3.48
1901,10,2.88
1901,11,6.19
1901,12,2.35
1902,1,6.16
1902,2,4.8
1902,3,4.03
1902,4,7.32
1902,5,3.54
1902,6,3.31
1902,7,6.18
1902,8,6.51
1902,9,3.96
1902,10,0.56
1902,11,0.0
1902,12,1.7
1903,1,9.19
1903,2,3.31
1903,3,0.12
1903,4,0.12
1903,5,2.45
1903,6,-1.05
1903,7,0.14
1903,8,1.75
1903,9,2.87
1903,10,2.16
1903,11,5.91
1903,12,10.19
1904,1,7.0
1904,2,2.4
1904,3,4.92
1904,4,7.72
1904,5,2.86
1904,6,5.23
1904,7,9.22
1904,8,8.11
1904,9,8.99
1904,10,10.25
1904,11,9.42
1904,12,4.77
1905,1,5.94
1905,2,8.07
1905,3,6.48
1905,4,2.32
1905,5,-1.34
1905,6,4.94
1905,7,6.86
1905,8,7.33
1905,9,3.91
1905,10,4.98
1905,11,2.99
1905,12,6.02
1906,1,7.02
1906,2,2.74
1906,3,1.12
1906,4,2.3
1906,5,1.17
1906,6,5.34
1906,7,1.4
1906,8,11.59
1906,9,6.99
1906,10,0.9
1906,11,6.06
1906,12,3.12
1907,1,1.22
1907,2,1.15
1907,3,-5.4
1907,4,5.39
1907,5,1.55
1907,6,1.98
1907,7,9.18
1907,8,-2.21
1907,9,4.65
1907,10,-5.1
1907,11,0.75
1907,12,12.16
1908,1,10.96
1908,2,2.63
1908,3,10.61
1908,4,11.64
1908,5,11.19
1908,6,5.64
1908,7,9.16
1908,8,9.47
1908,9,3.87
1908,10,6.24
1908,11,11.61
1908,12,6.8
1909,1,4.76
1909,2,1.66
1909,3,6.02
1909,4,9.08
1909,5,7.83
1909,6,6.13
1909,7,5.71
1909,8,6.74
1909,9,4.32
1909,10,4.61
1909,11,3.81
1909,12,5.5
1910,1,2.14
1910,2,0.89
1910,3,7.1
1910,4,2.11
1910,5,2.98
1910,6,0.0
1910,7,0.0
1910,8,7.75
1910,9,5.88
1910,10,9.88
1910,11,4.94
1910,12,2.26
1911,1,7.62
1911,2,6.8
1911,3,3.82
1911,4,4.61
1911,5,7.22
